Name,Ownership,Category,Year of Establishment
"Abraham Adesanya Polytechnic, Dogbolu/Akaran Ibadan Road, Atikori, Ijebu Igbo, P.M.B. 1020, Ijebu-Igbo, Ogun State",State Government,Polytechnic,2004
"Abubakar Tatari Ali Polytechnic, Bauchi, Jos Rd, Buachi, Bauchi State",State Government,Polytechnic,1988
"Adamawa State Polytechnic, Yola, P.M.B. 2146, Yola, Adamawa State",State Government,Polytechnic,1991
"Adeseun Ogundoyin Polytechnic, Eruwa (Formerly Ibarapa Polytechnic Eruwa) PMB 1015 Eruwa Oyo State",State Government,Polytechnic,2013
"Akwa Ibom State College of Art & Science, Nung Ukim, P.M.B 1044, Akwa Ibom State.",State Government,Polytechnic,1997
"Akwa Ibom State Polytechnic, Ikot Osurua, Ikot-Ekpene, Akwa-Ibom State",State Government,Polytechnic,1991
"Anambra State Polytechnic, PMB 002, Mgbakwu, Anambra State",State Government,Polytechnic,1980
"Bayelsa State Polytechnic, Alebiri, P.M.B 168, Ekeremor",State Government,Polytechnic,2014
"Benue State Polytechnic P.M.B 01 Ugbokolo, Benue State",State Government,Polytechnic,1976
"Binyaminu Usman Polytechnic, hedejia, Jigawa State",State Government,Polytechnic,2016
Cross River State Institute of Technology And Management (CRITM) ,State Government,Polytechnic,2012
"D.S. Adegbenro ICT Polytechnic, Itori-Ewekoro, P.M.B 5026, Ifo, Ogun State",State Government,Polytechnic,2004
"Delta State Polytechnic, Ogwashi-Uku, P.M.B 1060, Ogwashi-Uku, Delta State",State Government,Polytechnic,2002
"Delta State Polytechnic, Otefe-Oghara, P.M.B 03, Otefe-Oghara, Delta State",State Government,Polytechnic,2002
"Delta State School of Marine Technology, Burutu, P.M.B 1060, Warri, Delta State",State Government,Polytechnic,2017
"Edo State Polytechnic, Usen P.M.B 1004, Benin City, Edo State",State Government,Polytechnic,2002
"Ekiti State College of Agriculture and Technology, Isan Ekitit, Ekiti State",State Government,Polytechnic,2021
"Enugu State Polytechnic, Iwollo",State Government,Polytechnic,2017
"Gateway Polytechnic, Saapede, Prof. Wole Soyinka Way, Saapade Estate, P.M.B 2003, Isara Ode-Remo, Ogun State",State Government,Polytechnic,2004
"Hassan Usman Katsina Polytechnic (HUK), P.M.B 2052, Kastina, Nigeria",State Government,Polytechnic,1983
"Imo State Polytechnic, Umuagwo, Ohaji, P.M.B 1472, Umuagwo, Ohai, Owerri, Imo State",State Government,Polytechnic,1978
"Institute of Management and Technology, Enugu, P.M.B 01079, Enugu, Enugu State",State Government,Polytechnic,1965
"Isa Mustapha Agwai Polytechnic Lafia, (Formerly, Nasarawa State Polytechnic, Lafia) P.M.B 109, Lafia, Nasarawa State",State Government,Polytechnic,2001
"Jigawa State Polytechnic, DusteBlock 40-42, Old Secretariat, P.M.B 7040, Duste, Jigawa State",State Government,Polytechnic,2007
"Kano State Polytechnic, Kano, P.M.B 3401, Kano, Kano State.",State Government,Polytechnic,1976
"Katsina State Institute of Technology and Management (KSTIM)Katsina, Kastina State",State Government,Polytechnic,2013
"Ken Sarowiwa Polytechnic, Bori, P.M.B 20, Bori, Rivers State",State Government,Polytechnic,1988
"Kogi State Polytechnic, Lokoja, P.M.B Lokoja Kogi State",State Government,Polytechnic,1993
"Kwara State Polytechnic, Ilorin P.M.B 1375, Ilorin, Kwara State",State Government,Polytechnic,1973
"Mai-Idris Alooma Polytechnic,  Geidam, P.M.B 1020 Geidam, Yobe State",State Government,Polytechnic,2002
"Moshood Abiola Polytechnic, Abeokuta P.M.B 2210, Abeokuta, Ogun State",State Government,Polytechnic,1979
"Nasarawa State College of Agriculture and Technology, lafia, PMB 033, Lafia, Nasarawa State",State Government,Polytechnic,1996
"Niger State Polytechnic, Zungeru, P.M.B 1 Zungeru, Niger State",State Government,Polytechnic,1991
"Nuhu Bamalli Polytechnic, Zaria, P.M.B 1061 Zaria, Kaduna State",State Government,Polytechnic,1989
"Ogun State Institute of Technology, IgbesaOba Adesola Market Road, P.M.B 2005, Igbesa, Ogun State",State Government,Polytechnic,2004
"Ogun State Polytechnic, Ipokia(Ogun State Governmnet is yet to decide on the fate of the Institution following the reinstatemnet of Moshood Abiola Polytechnic (MAPOLY) Abeokuta)",State Government,Polytechnic,2018
"Oke-Ogun Polytechnic, Shaki, Oyo State",State Government,Polytechnic,2013
"Osun State College of Technology, P.M.B 1011, Esa-Oke, Osun State",State Government,Polytechnic,1991
"Osun State Polytechnic, Iree, P.M.B 301, Iree, Osun State",State Government,Polytechnic,1992
"Oyo State College of Agriculture and Technology, Igbo Ora",State Government,Polytechnic,2018
"Plateau State Polytechnic, Barkin-Ladin, P.M.B 02023, Jos, Plateau State",State Government,Polytechnic,1978
"Port-Harcourt PolytechnicP.M.B. 5936, Port Harcourt, Rivers State",State Government,Polytechnic,1991
"Ramat Polytechnic, Maiduguri, P.M.B 1070, Maiduguri, Borno State",State Government,Polytechnic,1976
"Rufus Giwa Polytechnic, Owo, P.M.B 1019 Owo Ondo State",State Government,Polytechnic,1979
"Taraba State Polytechnic, Suntai",State Government,Polytechnic,2017
"The Polytechnic Ibadan, P.M.B 22, Ibban, Oyo State",State Government,Polytechnic,1970
"Umaru Ali Shinkafi Polytechnic, Sokoto, P.M.B 2356, Sokoto, Sokoto State",State Government,Polytechnic,2000
"Zamfara State College of Arts and Science, Sani Abacha Way, Sokoto Road, P.M.B 1107, Gusau",State Government,Polytechnic,2000
"Al-Hikma Polytechnic Karu1st Close, Off Tafawa Balewa Street, Before Al-Hikma International Academy, P.O Box 453 Mararaba Gurku, Karu, Nasarawa State",Private,Polytechnic,2016
"Allover Central Polytechnic, Sango Ota, Plot3A & B Abiodun Popoola Street, Sango Ota, Ogun State",Private,Polytechnic,2003
"Ajayi Polytechnic Ikere Ekiti, Ekiti State",Private,Polytechnic,2017
"Ashi PolytechnicAnyiin, Logo Local Government P.M.B 102098 Benue State ",Private,Polytechnic,2018
"Best Solution Polytechnic, Akure KM 8 Akure - Ondo Road P.O. Box 518 Akure Ondo State",Private,Polytechnic,2016
"Bellarks PolytechnicTemporary Site:KM 4, Kwale - Asaba Expressway, beside Lococoon Hotels, Kwale Delta State, P.M.B 003, Kwalw Delta",Private,Polytechnic,2021
"Brainfill Polytechnic, by Mickon Filling Station Off Aba Road Ikot Ekpene, Akwa Ibom State",Private,Polytechnic,2022
"British Transatlantic PolytechnicKM 5, Akure-Ado Expressway Igoba, Akure Ondo State",Private,Polytechnic,2022
"Bolmor Polytechnic, Gpo Box 11221 Dugbe, Ibadan, Oyo State",Private,Polytechnic,2015
"Calvary Polytechnic, Owa-Oyibu, Delta State",Private,Polytechnic,2016
"Citi PolytechnicPlot 182, Hillside Extension Dutse-Dawaki Road Dutse Alhaji FCT Abuja",Private,Polytechnic,2018
Coastal Polytechnic ApapaP.O.Box 4335Apapa Lagos,Private,Polytechnic,2020
"Covenant Polytechnic, Aba, P.M.B 7065, Aba/Owerri Road, Abayi, Aba, Abia State",Private,Polytechnic,2010
"Crown Polytechnic, Ado-Ekiti P.M.B 5424, Km 10, Ilawe Road, Odo, Ekiti State",Private,Polytechnic,2008
"Distinct Polytechnic EkosinKM 1, Agbeye Road, Odo Otin LGA Osun State",Private,Polytechnic,2022
"Dorben Polytechnic, Abuja, P.O Box 6322 Garki, Bwari, Abuja",Private,Polytechnic,2008
"Eastern Polytechnic80c. Igwuruta Road (Tank), Rumuokwurusi, P.O Box 12667 Port Harcourt, Rivers State",Private,Polytechnic,2015
"Enville Polytechnic IkejaTake Off Site:4, Osho Street, Off Opebi/Oregun Link Road, p.M.B 8638 Ikeja, Lagos",Private,Polytechnic,2019
"Fidei Polytechnic, Gboko P.M.B 131, Gboko - Alaide Road, Benue State",Private,Polytechnic,2007
"Foundation Polytechnic, Ikom idem, P.O Box 1166, Ikot Ekpene, Akwa Ibom State",Private,Polytechnic,2022
"Gboko Polytechnic, Gboko, PMB 131, Gboko, Benue State",Private,Polytechnic,2016
"Global Polytechnic, Akure, Ondo State",Private,Polytechnic,2016
"Gloryland Polytechnic, Ankpa Kilometer 6, Ankpa-Anyigba Road P.M.B 1010 Ankpa, Kogi State",Private,Polytechnic,2022
"Grace Polytechnic, Surulere, P.O.Box 9067, Lagos State",Private,Polytechnic,1999
"Graceland Polytechnic, Offa Oyeleke College Road  Off Irra Road P.O Box 4441 Offa, Kwara State",Private,Polytechnic,2018
Grundtvig PolytechnicKM 11 Onitsha-Owerri ExpresswayOba Anambra Stateinfo@grundtvigpolytechnic.comwww.grundtvigpolytechnic.com+2348032726198,Private,Polytechnic,2019
Harry Pass PolytechnicTse Usen Mkar GbokoBenue State07030694480,Private,Polytechnic,2020
"Harvard PolytechnicNo. 15, Onireke Road Agbabiaka Ilorin-Kwara State",Private,Polytechnic,2022
"Heritage Polytechnic, Ikot Udota, Eket, Akwa Ibom State",Private,Polytechnic,2010
"Hope PolytechnicNdon Utibe, Ediene Atai, Ikono LGA Akwa Ibom State",Private,Polytechnic,2022
"Ibadan City Polytechnic, Alakia-Isebo/Iyana Church Road, P.M.B 10426, Ibadan Oyo State",Private,Polytechnic,2015
"Ibom Metropolitan Polytechnic, Uyo Akwa Ibom State",Private,Polytechnic,2021
I-CON Universal Polytechnic OsogboOsun State,Private,Polytechnic,2021
"Igbajo Polytechnic, Igbajo P.M.B 303, Osun State",Private,Polytechnic,2009
"Ihechukwu Madubuike Institute of TechnologyIsuochi, Abia State",Private,Polytechnic,2021
"Inspire Polytechnic39/41, Karmulaka Street Egbeda, Lagos, Lagos State",Private,Polytechnic,2022
"Iwo City Polytechnic, Iwo, Osun State",Private,Polytechnic,2021
"Kalac Christal Polytechnic, 1A, Sikiru Adewale Street, Opposite Shoprite, Sangotedo, Lekki, Lagos State. 08033062214, 08036887077info@kcpoly.edu.ng; www.kcpoly.ng",Private,Polytechnic,2014
"Kanmi Alo Interlink Polytechnic, Ijebu-Jesu, Km 1, Ado-Ekiti Road, P.M.B 5060, Ijebu-Jesa, Osun State",Private,Polytechnic,2008
"Kings Polytechnic, Ubiaja, Edo State",Private,Polytechnic,2010
Landmark PolytechnicAyetoro/Itele Via AyoboAdo Odo Ota LGAOgun State0803373212108054475307landmarkpoly@gmail.comwww.landmarkpolytechnic.com.ng,Private,Polytechnic,2018
"Lagos City Polytechnic, Ikeja, P.M.B 21200, Ikeja, Lagos State",Private,Polytechnic,1995
"Lens PolytechnicKilometer 2 Irra RoadBeside Naval BaseOffa, Kwara State",Private,Polytechnic,2016
"Lighthouse Polytechnic, Sunshine Hills Evbuobanos Km 3, Asaba Road, P.M.B 1724, Benin City, Edo State",Private,Polytechnic,2008
"Marist Polytechnic, Umuchigbo, Iji-Nike, Emene Enugu State",Private,Polytechnic,2016
Mater Dei PolytechnicUgwuoba TownOji River LGAEnugu State,Private,Polytechnic,2018
"Nacabs Polytechnic, Akwanga, P.M.B 001, Akwanga, Nasarawa State",Private,Polytechnic,2013
"New Land Polytechnic, idofian, Kwara State",Private,Polytechnic,2022
"Nogak Polytechnic, Ikom, Cross Rivers State",Private,Polytechnic,2012
Novelty Polytechnic KishiKM 3 Ilorin RoadP.M.B 03 KishiOyo Statewww.noveltypolytechnic.edu.ngnoveltypolytechnic2016@gmail.com0706602950008140685721,Private,Polytechnic,2019
"Oduduwa Polytechnic, Idumu, Lagos, Lagos State",Private,Polytechnic,2021
"Our Saviour Institute of Science, Agriculture & Technology, Enugu",Private,Polytechnic,1991
Paramount Polytechnic44 Ofoshin RoadEkigbo – Lagos State;,Private,Polytechnic,2022
"Prime Polytechnic, Jida Bassa, Ajaokuta, Kogi State",Private,Polytechnic,2015
"Redeemers College of Technology and Management (RECTEM)KM 46 Lagos – Ibadan ExpresswayMowe, Ogun State",Private,Polytechnic,2018
"Ronik Polytechnic, Ejigbo, P.M.B 21764, Ikeja, Lagos, Lagos State",Private,Polytechnic,2003
"Saf Polytechnic, P.O. Box 55, Iseyin Oyo State",Private,Polytechnic,2018
"Savanah Institute of TechnologyIshieke JunctionEnugu-Abakaliki ExpresswayAbakaliki, Ebonyi State",Private,Polytechnic,2017
"Shaka PolytechnicNo1 Prince Shaka Momodu Street, Ogiso, Off M.M way, P.M.B 1240, Benin City",Private,Polytechnic,2013
"Speedway Polytechnic7/20 Igbehinadun StreetOff Odozi StreetOsoba Ojudu, Ogun State",Private,Polytechnic,2019
"St. Mary Polytechnic, kwamba, P.M.B 418, Suleja, niger State",Private,Polytechnic,2015
Stars PolytechnicOta LGAOgun Stateinfo@starspoly.edu.ngwww.starspoly.edu.ng,Private,Polytechnic,2020
"Southern Atlantic PolytechnicKM 50, Airport Road Uyo - Akwa Ibom State",Private,Polytechnic,2020
"Sure Foundation Polytechnic, Ikot Akai, Ukanafun LGA, Akwa Ibom State",Private,Polytechnic,2016
"Teedek Polytechnic, Ilogbo-Ekiti, Ekiti State",Private,Polytechnic,2022
"Temple Gate Polytechnic, Abyi, Osisioma, P.O Box 3448, Aba, Abia State",Private,Polytechnic,2009
"The Polytechnic Aran-OrinOff Landmark UniversityOtun-Ekili RoadAran-Orin, Kwara State",Private,Polytechnic,2022
"The Polytechnic, Ogbo-Owu, Kwara State",Private,Polytechnic,2015
"The Polytechnic, Ile Ife, P.M.B 009, O.A.U, Ile-Ife, Osun State",Private,Polytechnic,1999
"The Polytechnic Iresi(Formerly College of Technology, Iresi) Osun State",Private,Polytechnic,2014
The Polytechnic OjokuKwara State,Private,Polytechnic,2022
"The Polytechnic, Omuo-Ekiti, Ekiti State",Private,Polytechnic,2022
"The Polytechnic Otada Adoka, P.O Box 280 Otukpo, Benue State",Private,Polytechnic,2016
"Timeon Kairos Polytechnic Lagos326 Abeokuta Expressway, Super Cola Bus Stop Oko Aba via Ebule Ebga Lagos",Private,Polytechnic,2019
"Tower Polytechnic, Ibadan, 136, Liberty Road, P.O.Box 13039 G.P.O, Dugbe, Ibadan",Private,Polytechnic,2010
"Trinity Polytechnic Uyo, Akwa Ibom State",Private,Polytechnic,2016
"Ultra Excellence College of Tech Uyo, Akwa Ibom State",Private,Polytechnic,2022
"United Polytechnic GamajigoOff KM 7, Zaria Road Jos- Plateau State",Private,Polytechnic,2022
"Uma Ukpai Polytechnic, Asaga Ohafia, Abia State",Private,Polytechnic,2017
"Uyo City Polytechnic, P.M.B 1067, uyo, Akwa Ibom State",Private,Polytechnic,2014
"Valley View Polytechnic, Ohafia, Abia State",Private,Polytechnic,2016
"Villanova Polytechnic, Imse-Ile(Formerly The Olytechnic, Imse-Ile)Km 2, Imse-Ile/Ogbajo Road, Osun State",Private,Polytechnic,2013
"West Land PolytechnicNo 31 Opapa Road, Ilobu, Osun State",Private,Polytechnic,2022
"Wolex Polytechnic, iwo, 1Km 2, iwo-Ejigbo Road, P.O Box 255, Osun State",Private,Polytechnic,1999
"Akperan Orshi College of Agriculture, Yandev, P.M.B 181, Yandev, Gboko, Benue state",State Government,College of Agriculture,1926
"Audu Bako College of Agriculture, Danbatta, P.M.B 3159, Dambatta, Kano State",State Government,College of Agriculture,2002
"Bauchi State College of Agriculture, P.M.B 088, Bauchi",State Government,College of Agriculture,2013
"College of Agriculture and Animal Health, Bakura, P.M.B 1022, Talata Mafara, Zamfara State",State Government,College of Agriculture,1999
"College of Agriculture and Animal Science, DAC - ABU, Mando, P.M.B 2134, Kaduna, Kaduna State",State Government,College of Agriculture,1959
"College of Agriculture, Jalingo, P.M.B 1025 Jalingo, Taraba State",State Government,College of Agriculture,1979
"College of Agriculture, DAC-ABU, Kabba, P.M.B 205, Kabba, Kogi State",Federal Government,College of Agriculture,1964
"College of Agriculture, Zuru, P.M.B 1018, Zuru, Kebbi State",State Government,College of Agriculture,1976
"Federal College of Agriculture, Akure, P.M.B 623, Akure, Ondo State",Federal Government,College of Agriculture,1957
"Federal College of Agriculture, Moor Plantation, P.M.B 5029, Moor Plantation, Ibadan, Oyo State",Federal Government,College of Agriculture,1921
"Federal College of Agriculture, Ishiagu, P.M.B 7008, Ishiagu, Ebonyi State",Federal Government,College of Agriculture,1955
"Federal College of Agricultural Produce Technology, Kano",State Government,College of Agriculture,1992
"Federal College of Animal Health & Production Technology, Ibadan, P.M.B 5029, Ibadan Oyo State",Federal Government,College of Agriculture,1964
"Federal College of Animal Health & Production Technology, Vom, P.M.B. Vom, Plateau State",Federal Government,College of Agriculture,1941
"Federal College of Fisheries & Marine Technology, Victoria Island, P.M.B 80063 Victoria Island, Lagos State",Federal Government,College of Agriculture,1969
"Federal College of Forestry, Jericho Hill, P.M.B 5054 Jericho Hill, Ibadan, Oyo State",Federal Government,College of Agriculture,1939
"Federal College of Forestry, Jos, P.M.B 2019 Jos, Plateau State",Federal Government,College of Agriculture,1958
"Federal College of Forestry Mechanisation Afaka, P.M.B 2273, Afaka Kaduna State",Federal Government,College of Agriculture,1976
"Federal College of Forestry Resources Management, Fugar, Edo State",Federal Government,College of Agriculture,1989
"Federal College of Forestry Resources Management,Ishiagu, Ebonyi State",Federal Government,College of Agriculture,2020
"Federal College of Forestry Resources Management, Maiduguri, Borno State",Federal Government,College of Agriculture,2020
"Federal College of Freshwater Fisheries Technology, Baga, P.M.B 1060, Maiduguri, Borno State",Federal Government,College of Agriculture,1978
"Federal College of Freshwater Fisheries Technology, New Bussa, P.M.B 1500, New Bussa, Niger State",Federal Government,College of Agriculture,1978
"Federal College of Horticultural Technology, Dadin Kowa, Gombe State",Federal Government,College of Agriculture,2002
"Federal College of Land Resources Technology, Kuru, P.M.B 2035, Jos, Plateau State",Federal Government,College of Agriculture,1987
"Federal College of Land Resources Technology, P.M.B 1518, Owerri, Imo State",Federal Government,College of Agriculture,1981
"Federal College of Wildlife Management, New Bussa, P.M.B 268, New Bussa, Niger State",Federal Government,College of Agriculture,1978
"Federal College of Veterinary and Medical Laboratory Technology, Vom",State Government,College of Agriculture,1989
"Mohammet Lawan College of Agriculture, Maiduguri, P.M.B 1427, Maiduguri, Borno State",State Government,College of Agriculture,1977
"Niger State College of Agriculture, Mokwa, P.M.B 109, Mokwa, Niger State",State Government,College of Agriculture,1979
"Plateau State College of Agriculture, Garkawa, P.M.B 001, Garkawa",State Government,College of Agriculture,1998
"Samaru College of Agriculture, DAC ABU, Zaria, Kaduna State",Federal Government,College of Agriculture,1921
"Usteem College of Agriculture12 Usteem Road, Off Ilobu Road PMB 50008, Agunbelewo, Osogbo Osun State",Private,College of Agriculture,2023
"Yobe State College of Agriculture,  Gujba",State Government,College of Agriculture,1996
"Academy of Medical Health and EducationUmoukwu, Oju LGA Benue State",Private,Innovation Enterprise,2022
Adeyemi College of TechnologyOre RoadOndo CityOndo State,Private,Innovation Enterprise,2022
"African College of Agriculture, Vocational and Technical Studies KM 4, Oba - Ile Road, Akure, Ondo State",Private,Innovation Enterprise,2021
"Afrihub ICT Institute, AP, Plaza. Ademola Adetokunbo Crescent Wuse II, Abuja, FCT",Private,Innovation Enterprise,2008
"Akwa-Ibom State PolytechnicIkot OsuruaPMB 1200, Ikot Ekpene, Akwa Ibom State",Private,Innovation Enterprise,2022
"Al-Muhibba Institute ICT and Entrepreneurship, 2 Bicados Street, Off Charles Adebayo Street, Kubawa, Abuja",Private,Innovation Enterprise,2022
"Ambassador College Festac, Lagos",Private,Innovation Enterprise,2010
"Ambassador College of Mgt. and Technology, 80C Igwuruta Road (Tank) Rumuokwurushi Port-Harcourt",Private,Innovation Enterprise,2009
"Aquatech Institute of Fisheries Management, Ibadan",Private,Innovation Enterprise,203
"Arewa Paralegal Innovation ENT.No. 6. Sir Kashim Ibrahim Way, U/Rimi Kaduna",Private,Innovation Enterprise,2009
"Asteven Renewable Energy Academy Kilometer 40, Lagos Ibadan Expressway  Adjacent Greenland Estate Asese, Ogun State",Private,Innovation Enterprise,2021
Awgu College of Medical Sciences and Health TechnologySieco Industrial EstateAwguEnugu State,Private,Innovation Enterprise,2022
"Benson Idahosa School of Basic & Applied Studies, Benin City, Edo State",Private,Innovation Enterprise,2013
"Best Global Business and Financial School Kachia Road, Kaduna",Private,Innovation Enterprise,2015
"Bonny Vocational Centre, Bonny Island, Rivers State",Private,Innovation Enterprise,2013
"Buckingham Academy of Management and Technology, Ogidi, Anambra State",Private,Innovation Enterprise,2008
"Business Education Examinations Council (BEEC), 13 Randle Road, Apapa, P.O Box 55014, Falomo, Ikoyi, Lagos State",Private,Innovation Enterprise,2008
"Calvary Foundation Institute of Technology, Enugu, Enugu State",Private,Innovation Enterprise,2013
"Calvary College of Technology, Ijoko, Ogun State",Private,Innovation Enterprise,2015
"Central Institute of Business and Technology, Kilometer 4, Benin-Abraka Road, Egba, Benin City",Private,Innovation Enterprise,2016
"Centre for Creative Arts Education, Port Harcourt, 2A Ndabras Close, Off Trans-Amadi, Port Harcourt, Rivers State",Private,Innovation Enterprise,2008
"Certified Institute of Shipping of Nigeria (CISN), Badagary Express Way, lagos",Private,Innovation Enterprise,2013
"Cherish Enterprise Institute, Batsari, Kastina State",Private,Innovation Enterprise,2013
"CIFMAN Institute of Technology, Sabo, Yaba, Lagos",Private,Innovation Enterprise,2011
"City Gate Institute of Innovation and Technology, Ibadan, E-telligence Place, 3rd Floor, Babos Building, 1 Oluyole Way, Bodija, Ibadan, Oyo State",Private,Innovation Enterprise,2008
"City Institute of Management and Technology, Igogbo Educational Centre, Sani Abacha Road, Maraba, Nasarawa State",Private,Innovation Enterprise,2018
"Clara School of Media & Performing Arts, Yenagoa, Bayelsa State",Private,Innovation Enterprise,2013
"College of Banking and Finance, Ibadan",Private,Innovation Enterprise,2014
"Complete Computers and Technology Institute, Benin City, Edo State",Private,Innovation Enterprise,2012
"Comprehensive Institute of Management and Technology,  Byazin, Kubwa, Abuja",Private,Innovation Enterprise,2013
"Conarina Maririme Academy Oria, Abraka, Delta State",Private,Innovation Enterprise,2017
"Dagama College of Applied Science Chikaji Road, MTD Sabon Gari Zaria",Private,Innovation Enterprise,2019
"Dalewares Institute of Technology, Lagos33 Imani Dauda St. Off Eric Moore Road, Surulere, Lagos State",Private,Innovation Enterprise,2008
"Damson Institute of Management and Technology, no 5 Damson Street, Off Etsu Jetta Street, Phase 1, Jikwoyi, Along Nyanya Karshi Road, FCT Abuja",Private,Innovation Enterprise,2018
"Del-York Creative Academy, Ikoyi, Lagos State",Private,Innovation Enterprise,2015
"Dialogue Computer Institute, Kaduna Study Centre, 1 Kudan Road, Legislative QtrsU/Dosa, Kaduna",Private,Innovation Enterprise,2009
Dialogue Computer Institute Katsina Study Centre.,Private,Innovation Enterprise,2009
"Digital Bridge Institute, Kano",Private,Innovation Enterprise,2016
"Digital Bridge Institute, Lagos",Private,Innovation Enterprise,2016
"Distinct Institute of Management and Technology, Osogbo, Osun State",Private,Innovation Enterprise,2018
"DOTS.ICT Institute of Technology, Agbadu Road, Abeokuta",Private,Innovation Enterprise,2013
"ECWA Information and Computer Science Institute, Jos, Plateau State",Private,Innovation Enterprise,2015
"Eko College of Management and Technology145, Ikotun Abaranje Road, Ikotun, Lagos State",Private,Innovation Enterprise,2018
"El- Academy Abuja, 340 Cadastral District Abuja, FCT",Private,Innovation Enterprise,2021
Elerinmosa Institute of Techology Erin- Osun State,Private,Innovation Enterprise,2021
"Emdee Shipping and Maritime College, Apapa, Lagos",Private,Innovation Enterprise,2013
"Entrepreneurship Vocational Technology Ltd, Matan Fada, Kano State",Private,Innovation Enterprise,2010
"Enville Institute of Environmental and Safety Management Ikeja, Lagos",Private,Innovation Enterprise,2016
"Environmental Sustainability Thinking and Action Centre (ESTAC), Institute of Construction & Engineering, Enugu 1, Mike Toney Avenue, Phase 6 Trans Ekulu, Enugu State",Private,Innovation Enterprise,2008
"Fame School of Music17 Admiralty Way, Lekki Phase I, Lagos",Private,Innovation Enterprise,2010
FCFM-Afaka Entrepreneurship CentreKaduna,Private,Innovation Enterprise,2010
"Filaps Media Training Institute, Kano",Private,Innovation Enterprise,2015
"Film and Broadcast Academy (FABA)Hospital Road, Ozoro-Delta State",Private,Innovation Enterprise,2009
"First Irish Business School Egbeda - Idumu, Agege Lagos",Private,Innovation Enterprise,2018
"First Mark Innovation School of Technology, Ado-Ekiti",Private,Innovation Enterprise,2012
"Flying Dove Institute of Information Technology, Ground Floor, National Library Building, Adjacent reiz Continential Hotel, Centre area Abuja, Abuja",Private,Innovation Enterprise,2010
"Foundation College of Technology, Ikot Idem, Ikot Ekpene, AkwaIbom State",Private,Innovation Enterprise,2013
"Foundation for Energy Health International College of Science and Technology Mgbowo, Agwu Local Government Area, Enugu State",Private,Innovation Enterprise,2018
"Gateway Industrial Petrogas Institute, Oni, Ogun State",Private,Innovation Enterprise,2013
"Global Institute of Commerce and Technology, Gwarinpa, Abuja",Private,Innovation Enterprise,2015
"Global Maritime Academy, Oguni-Ololmu, Delta State",Private,Innovation Enterprise,2012
"Glory land Institute of Management Ankpa, Kogi State",Private,Innovation Enterprise,2016
"Grace City Institute of Technology and Management Science Ltd, Opposite Rinsayo Filling Station, Ring Road, Osogbo, Osun State",Private,Innovation Enterprise,2018
"Graig- Philips College of Technology, Maryland, Lagos State",Private,Innovation Enterprise,2015
"Grajos College of Mass Communication and Management Technology Sowemimo Street, Aduro Bus Stop, Ijaiye Ojokoro lagos, Lagos State",Private,Innovation Enterprise,2021
"Halogen School of Security Management and Technology Ikeja, Lagos",Private,Innovation Enterprise,2019
"Hajj Institute of NigeriaPlot 992, Zakari Maimalari Street Central Business District FCT- Abuja",Private,Innovation Enterprise,2022
"Highland College Ibadan, c/o Segun Fatoki, 98 Iwo Road, Ibadan , Oyo State",Private,Innovation Enterprise,2008
"Homik Oil and Gas Facility Engineering School, homik Rehoboth Court by jesus Evang Power Mission, NTA.Choba Road ozouba, Port Harcourt, Rivers State",Private,Innovation Enterprise,2018
"Honourable Justice L. O. Aremu’s Academy for Basic Studies Ibadan, Oyo State",Private,Innovation Enterprise,2015
"Ibom Institute of Management and Technology, Ikot Ekpene",Private,Innovation Enterprise,2014
"ICCN Institute of Finance and Investment Management Nkwerre, Imo State",Private,Innovation Enterprise,2017
"Ife Business School Ile Ife, Osun State",Private,Innovation Enterprise,2017
"IFO College of Management  &Technology, P.M.B 5030 Ifo, Km.50, Lagos Abeokuta Expressway, Techno Bus Stop, Ogun State",Private,Innovation Enterprise,2009
"Ilesha City College of Technology Ilase - Ijesha, Ilesha, Osun State",Private,Innovation Enterprise,2018
"Iman College of Business Technology Sharada Phase 2 Kano, Kano State",Private,Innovation Enterprise,2019
"IMFI-ICT Academy, 54, Nsikak Edouk Avenue, P.O Box 1723, Uyo, Akwa Ibom State",Private,Innovation Enterprise,2008
"Imperial College of Advance Studies, 8B Zoo Road kano, Kano State",Private,Innovation Enterprise,2021
"Industrial Training Fund(ITF) Models Skills Training Centre, Adetokunbo Ademola Crescent, Maitama, Abuja",Private,Innovation Enterprise,2016
"Innovation Institute of Information Technology, Akure, Ondo State",Private,Innovation Enterprise,2013
"Innovation Institute of Technology, No. 5. Yakubu Gowon Way, Kaduna",Private,Innovation Enterprise,2009
Institute of Banking and Finance Ibadan,Private,Innovation Enterprise,2015
"Institute of Corporate Security and Intelligence StudiesSani Abacha Youth Centre22/32 Madobi Road Kano, Kano State",Private,Innovation Enterprise,2017
"Institute of Information and Computer Technology, Agwu, Enugu State",Private,Innovation Enterprise,2013
"Institute of Maritime and Safety Alimosho, Lagos",Private,Innovation Enterprise,2018
"Institute of Transport and Management Technology, Km 43, Agbo Malu Bus Stop, MTN Badagry Express Way, Lagos",Private,Innovation Enterprise,2017
"International Chaplaincy Corps Network (ICCN) Institute of Security Technology and Management, Orlu, Imo State",Private,Innovation Enterprise,2013
"International Professional College of Administration, science & Technology, Km 20, Abuja - Keffi Express Road, Masaka Mission City, Nasarawa State",Private,Innovation Enterprise,2022
"International Vocational Technical Enteprenuership Centre (IVTECH) Ajase-Ipo, Kwara State",Private,Innovation Enterprise,2019
